emp_no,emp_title_id,birth_date,first_name,last_name,sex,hire_date
492723,e0003,9/30/59,Piyawadee,Sanella,M,7/11/87
425023,e0003,8/4/53,Shaowen,Krone,M,11/18/90
411614,e0003,3/29/58,Martins,Wynblatt,M,2/15/92
425656,s0001,10/10/64,Basem,Imataki,M,7/1/87
252000,e0001,12/3/52,Zhonghui,Gyimothy,F,3/2/89
477628,s0001,3/18/56,Duro,Beutelspacher,M,2/2/91
103676,e0003,12/2/64,Karoline,Matzov,F,8/6/87
93916,e0002,8/14/57,Rosalie,Rousseau,F,11/7/98
430653,e0003,8/25/60,Masoud,Peroz,F,9/30/89
293744,s0001,4/29/52,Kolar,Carrere,M,6/30/87
222134,e0003,3/10/62,Qunsheng,Speer,M,2/13/86
465348,e0002,7/10/58,Limsoon,Beznosov,M,2/9/92
92149,s0001,3/19/57,Serenella,Kamber,F,9/14/88
406318,e0003,10/3/52,Hitomi,Gunderson,M,11/22/87
259126,s0001,7/5/53,Dines,Encarnacion,M,8/2/86
42625,s0001,12/12/57,Harngdar,Swick,F,5/28/86
85093,s0002,1/30/59,Nectarios,Covnot,M,4/24/90
281320,e0003,12/14/60,Karoline,Ratzlaff,F,2/10/95
402202,e0004,10/14/59,Leni,Pusterhofer,M,1/29/95
419277,e0004,10/10/53,Freyja,Uhrig,M,12/20/86
451259,s0001,9/18/56,Zhenhua,Milicic,M,8/4/86
225842,e0002,3/13/52,Bowen,Schmezko,M,5/30/86
62038,s0001,9/27/59,Shiv,Narlikar,F,9/3/87
256701,e0003,11/24/52,Chikako,Veevers,F,7/10/88
205366,s0002,2/21/64,Kazuhira,Shimshoni,F,4/15/87
101013,e0003,2/24/61,Leen,Pappas,M,11/19/89
212882,s0001,12/26/58,Changho,Pietracaprina,F,2/13/92
21620,s0001,11/24/60,Shaowen,Pramanik,M,12/27/92
223670,e0003,8/8/52,Erez,Chinin,F,7/1/90
209422,e0002,7/28/64,Reinhard,Gischer,M,1/12/99
403328,e0003,3/28/59,Shem,Kroha,M,9/22/94
292694,e0003,6/20/64,Kauko,Demizu,M,12/8/90
483560,s0001,12/26/60,Yannik,Krybus,M,10/20/85
270554,s0001,6/11/59,Percy,Litecky,F,8/16/93
37601,s0001,12/14/62,Gilbert,Naumovich,M,9/19/92
437985,s0001,6/12/54,Reuven,Munke,M,4/13/86
14097,s0001,3/18/63,Khalil,Gniady,M,12/4/90
221689,e0003,2/3/60,Fayez,Harllee,F,1/1/87
62117,e0003,6/25/64,Bojan,Crouzet,F,6/10/94
213813,s0001,7/11/55,Tsuneo,Matzat,M,1/7/89
28823,s0001,9/29/58,Tonny,Skafidas,M,6/20/88
284330,e0002,4/5/54,Bangqing,Pehl,F,9/30/96
107258,s0001,12/21/53,Parviz,Zaumen,F,4/4/87
209527,s0001,9/26/62,Sashi,Danlos,M,1/30/98
207774,s0001,8/17/53,KayLiang,Trachtenberg,M,5/2/88
11980,s0001,7/3/55,Yechezkel,Pews,M,1/20/92
270258,e0003,4/5/53,Feipei,Hasenauer,M,3/5/95
492191,e0002,4/29/62,Remco,Vakili,F,8/15/90
457800,s0001,9/20/63,Stabislas,Domenig,M,8/4/86
446142,e0003,8/22/61,Gregory,Zedlitz,F,7/10/93
201769,e0004,11/6/61,Jayesh,Merel,M,9/26/92
56049,s0001,7/15/52,Felicidad,Waymire,F,1/15/88
414537,s0001,8/13/60,Chikara,Businaro,M,1/4/87
414885,s0001,8/3/62,Candido,Vecchi,M,8/27/95
474291,e0003,12/1/59,Juichirou,Jumpertz,M,9/18/86
250218,e0003,1/30/53,Uriel,Zongker,M,1/25/88
451340,s0001,12/8/61,Satosi,Zyda,M,10/9/87
413842,e0003,10/20/62,Christoph,Bahr,F,10/9/90
464798,e0003,2/18/54,Gen,Merey,M,3/23/89
37176,e0003,3/1/55,Panayotis,Daescu,M,1/25/88
109820,e0001,11/11/52,Juichirou,Ghelli,F,12/13/86
246896,e0002,3/14/58,Francoise,Baik,F,7/24/96
474804,s0001,10/31/58,Ziva,Merlo,M,10/30/94
217945,s0002,3/19/53,Shmuel,Georg,M,11/30/86
109600,s0001,4/12/55,Xuejun,Chvatal,M,10/22/91
230858,s0001,5/13/60,Conal,Dayana,F,8/29/90
279661,s0002,3/9/54,Xiadong,Bach,M,4/29/86
287414,e0003,6/4/57,Arie,Kamble,M,7/1/88
210499,s0001,7/26/54,Pintsang,Peron,M,11/9/88
268566,s0001,1/26/62,Panayotis,Parveen,M,4/4/97
53312,s0001,4/29/59,Quingbo,Lagarias,M,11/7/87
214747,s0001,6/3/54,Rutger,Grospietsch,F,12/30/90
231751,s0002,9/23/52,Van,Lunn,F,11/25/92
201452,e0002,4/19/59,Karsten,Alpin,M,2/19/98
435436,e0003,3/31/60,Tiina,Ozeki,F,10/20/95
98882,e0003,3/12/54,Yishay,Vanwelkenhuysen,F,11/17/89
42924,e0003,10/24/61,Mads,Felcyn,F,3/20/92
78316,e0004,1/14/62,Roselyn,Rahimi,M,3/15/95
430484,e0003,10/29/62,Hairong,Soicher,F,3/14/87
401368,e0002,3/31/60,Vidar,Azumi,M,12/4/91
211383,s0001,9/24/60,Uli,Candan,M,11/17/92
452859,s0001,4/13/60,Gudjon,Poupard,M,8/28/88
11842,s0001,3/31/54,Moto,Piazza,M,12/11/91
439095,s0001,4/21/55,Changho,Matzat,M,12/6/89
427027,s0001,11/4/64,Patricio,Butner,M,8/22/87
496429,s0001,11/5/60,Takanari,Luders,M,2/18/88
219797,s0001,1/24/56,Neelam,Demeyer,M,3/4/90
293183,e0002,11/5/52,Guangming,Butterworth,F,10/1/86
439788,e0002,5/14/58,Irene,Setia,F,8/10/86
431759,e0002,2/1/65,Alassane,Ramsay,M,11/5/87
426193,s0001,2/10/54,Huiqun,Rattan,M,3/23/85
416364,e0003,2/5/62,Zissis,Mateescu,M,11/26/89
207791,e0002,8/30/57,Jahangir,Schmittgen,M,8/20/88
277176,s0001,7/7/56,Kyoichi,Simmel,M,12/18/94
22638,e0004,12/28/63,Mantis,Otillio,F,8/10/88
205714,e0003,8/27/54,Anwar,Ellozy,M,12/12/91
218042,s0001,1/11/60,Dharmaraja,Berstel,M,8/8/95
36965,e0003,1/7/53,Yechiam,Munch,M,3/8/88
218058,s0002,7/27/58,Aiman,Szemeredi,M,8/30/88
10966,s0001,7/4/62,Danel,Pardalos,M,11/7/89
423740,e0003,8/19/54,Jaroslava,Bardell,F,12/1/87
468180,s0001,12/20/59,Mads,Swen,M,7/1/92
207996,s0001,5/9/56,Tianruo,Milicic,F,5/29/91
286451,e0003,2/10/60,Shuichi,Swiler,M,6/8/86
30871,e0004,6/18/59,Michaela,Glowinski,M,3/2/87
260621,e0003,5/2/53,Christophe,Binding,M,2/12/91
24103,s0001,5/31/54,Martins,Schaft,M,3/27/85
78524,s0001,5/8/54,Zhiwei,Bahk,F,8/11/88
494351,s0002,10/11/56,Boriana,Maginnis,M,11/9/85
239616,e0004,2/9/55,Chenyi,Benveniste,M,3/30/90
469619,e0003,9/17/55,Nakhoon,Bennis,M,12/1/89
36372,s0002,7/24/53,Ronghao,Conta,F,6/29/92
260402,e0003,8/7/56,Kwok,Bach,M,4/25/90
469215,e0002,1/11/56,Juyoung,Smailagic,F,9/15/87
69005,e0003,5/2/59,Alain,Quadeer,M,6/10/91
279559,s0001,3/17/57,Jasminko,Cronan,F,10/27/92
421244,s0001,11/23/55,Ortrun,Ladret,F,1/18/87
16854,s0001,8/5/57,Vasilis,Lindqvist,F,7/27/95
489740,e0003,10/17/59,Mona,Uhrig,F,10/13/85
470413,s0001,3/29/58,Uzi,Poehlman,M,7/13/85
78630,s0001,1/15/61,Perry,Francisci,M,5/7/96
486205,e0003,3/21/53,Bodh,Baez,F,4/28/85
295979,s0001,9/29/62,Akeno,Benzaken,M,3/17/89
486568,e0003,3/25/55,Kiam,Pappas,M,5/8/87
43646,s0001,3/17/60,Xiaoshan,Lorcy,M,3/5/87
285571,e0003,1/1/56,Marke,Rosis,F,9/22/87
13503,s0001,10/28/62,Renee,Milicia,M,7/30/85
478993,s0001,11/20/57,Danny,Buchter,M,2/8/89
467561,e0002,7/4/53,Ekawit,Schmittgen,M,11/24/96
19442,e0003,9/11/52,Terresa,Perez,F,9/12/86
476968,s0001,2/20/57,Shaleah,Wallrath,M,3/25/85
10202,e0003,1/5/56,Greger,Lichtner,M,10/6/91
462600,e0003,7/7/54,Uriel,Chvatal,F,6/16/90
93898,e0003,2/23/56,Zdislav,Alameldin,F,8/28/89
25597,s0001,3/21/59,Emran,Gecsei,M,12/7/91
496161,e0003,12/1/64,Tonny,Stille,M,8/15/93
272646,e0002,5/8/55,Youngkon,Bahr,M,5/24/95
461800,s0002,6/21/62,Nadjib,Ratnakar,F,1/25/94
452506,s0001,10/7/62,Val,Bahr,F,7/5/87
46470,e0004,5/31/54,Adhemar,Rassart,M,6/18/87
251789,s0002,5/22/55,Apostol,Servi,M,3/19/90
80738,e0002,9/9/57,Udi,Rouquie,M,1/13/88
437837,e0003,5/29/59,Abdulah,Brandsma,M,8/29/92
404252,e0002,8/3/60,Ziya,Condotta,M,9/1/88
493133,e0002,8/26/59,Lidong,Borovoy,M,5/30/86
293313,s0002,12/21/60,Dinkar,Trelles,F,10/12/87
240358,e0003,12/11/58,Fox,Masamoto,F,12/7/92
453362,s0001,8/21/64,Yucel,Parascandalo,M,6/27/90
31634,e0003,6/7/54,Mohua,Rubsam,F,4/4/88
45051,e0003,12/31/64,Girolamo,Billawala,M,6/9/95
468780,s0001,3/17/59,Filipp,Schnelling,M,11/27/92
208208,e0003,12/22/61,Jianhua,Delgrossi,M,2/6/89
11079,e0003,9/18/52,Piyush,Garigliano,M,10/9/93
210347,s0001,5/29/52,Junichi,Kowalchuk,F,9/28/91
418149,e0003,4/27/62,Xuejun,Luiz,M,2/17/85
248886,e0003,9/7/60,Geoffrey,Murrill,M,11/16/90
435490,e0002,4/23/59,Zhensheng,Covnot,M,1/29/94
85550,e0003,5/7/64,Gro,Peak,M,11/12/87
10853,e0004,3/22/64,Yoshinari,Kalloufi,F,5/3/93
213716,e0002,3/8/63,Ibibia,Waleschkowski,M,9/26/91
455423,e0003,5/5/60,Aamer,Koyama,M,7/7/90
484774,s0001,11/11/53,Brigham,Cherinka,M,5/1/92
480539,s0001,6/26/59,Boriana,Roisin,M,3/26/85
282829,s0001,3/23/58,Kiyokazu,Weisert,M,3/8/89
101125,e0003,7/9/57,Teiji,Eickenmeyer,M,9/3/86
52254,s0001,6/30/62,Yuguang,Nations,M,5/16/87
44743,e0004,5/4/58,Augustine,Sigstam,M,8/5/91
57730,s0002,9/25/62,Shuichi,Leijenhorst,M,9/23/87
222732,s0001,8/23/60,Alassane,Radivojevic,M,1/21/89
279067,e0002,1/18/60,Szabolcs,Rajaraman,F,6/27/93
422297,e0002,4/5/63,Tsvetan,Flexer,M,5/15/90
414400,s0001,8/3/52,Stella,Dayang,F,3/17/85
230906,s0001,8/4/54,Qunsheng,Marchegay,M,9/9/88
458896,s0001,3/9/59,Stabislas,Perri,M,3/29/92
293092,s0002,6/20/56,Baocai,Kroha,F,10/27/86
441170,e0003,10/14/61,Shir,Munck,F,5/6/96
496147,e0003,3/28/59,Jianwen,Neiman,F,4/17/90
34573,e0003,12/18/61,Hatsukazu,Kampfer,M,4/2/88
428991,s0001,9/1/60,Wojceich,Baba,M,3/14/95
40602,e0004,7/20/64,Make,Mattern,M,11/5/94
459062,e0002,8/5/60,Suvo,Delgrange,M,5/5/94
253130,e0003,3/15/61,Mahmut,Talmor,F,10/25/90
472397,s0001,5/14/61,Danco,Matzel,M,10/30/90
40014,e0004,1/15/54,Maha,Meriste,M,8/12/89
41622,s0001,8/1/64,Jouni,Fetvedt,F,6/1/92
446342,e0002,3/15/56,Mantis,Krupka,F,2/1/95
494817,e0004,7/30/63,Rasiah,Smeets,M,4/28/85
51016,s0001,4/3/61,Vatsa,Zykh,M,7/7/98
207377,e0002,9/1/62,Udaiprakash,Feldhoffer,F,9/21/89
486617,s0001,6/8/60,LiMin,Orsini,M,1/21/90
283440,s0001,9/10/61,Leen,Krichel,M,4/8/91
96561,s0001,1/5/61,Hercules,Portugali,M,10/6/88
258170,e0002,3/20/59,Morrie,Sridhar,M,3/4/86
204958,s0001,8/11/63,Morrie,Katzenelson,F,3/4/91
442026,e0002,3/24/57,Mart,Tischendorf,M,12/11/94
85808,s0002,1/24/55,Unal,Kermarrec,F,3/3/94
441662,s0001,2/8/64,Hongzhu,Chenney,F,7/7/92
64385,e0003,3/13/56,Lokesh,Poujol,M,3/29/88
405965,e0003,2/11/60,Oguz,Thisen,M,11/18/88
41986,s0001,5/11/56,Conal,Wilfing,F,9/18/85
11012,s0001,9/12/53,Taegyun,Speckmann,F,12/28/86
268613,e0001,5/8/52,Tadahiko,Cherinka,F,2/17/90
82413,e0003,1/26/58,Stabislas,McFarlin,M,7/19/86
67762,s0001,7/27/52,Jeanna,Francisci,F,8/21/85
452220,e0002,9/26/55,Ingemar,Schahn,M,3/19/89
206827,e0003,7/26/52,Badri,Selvestrel,M,7/4/89
298781,e0003,7/16/56,Yagil,Collavizza,F,5/30/87
50928,e0003,5/1/62,Ziva,Bellone,M,6/23/91
85630,e0003,3/16/59,Gladys,Randt,M,10/15/85
446313,e0003,1/28/54,Howell,Benzmuller,M,5/28/94
10571,e0003,12/10/63,Fun,Varman,M,2/24/85
76229,e0003,10/27/58,Shigehiro,Trogemann,M,10/28/85
441330,e0001,12/6/62,Richara,Ducloy,M,12/15/96
446501,e0003,11/14/60,Rayond,Deville,F,2/13/87
484430,s0001,8/10/59,Roded,Schach,M,6/14/87
35711,e0003,6/17/58,Apostol,Ghelli,M,4/7/86
462013,s0002,5/17/59,Maik,Bernardeschi,M,3/28/88
234161,e0002,3/19/59,Elgin,Backhouse,F,3/10/92
93255,s0001,12/10/56,Mihalis,Wegerle,M,10/6/89
210276,s0002,9/6/63,Nidapan,Braunmuhl,F,10/14/85
14193,e0001,2/23/64,Lucien,Kornyak,F,11/1/94
258494,e0002,3/10/56,Rayond,Asser,F,5/22/93
86672,s0001,1/15/65,JoAnne,Anido,F,3/5/85
423290,s0001,3/4/64,Geoff,Underwood,F,2/10/95
25385,e0003,7/30/64,Joydip,Tsukuda,F,1/13/89
244316,s0001,11/7/54,Khun,Kuszyk,M,6/30/86
27995,s0001,5/15/53,Yunming,Serre,M,6/22/87
475572,e0003,10/13/59,Elvia,Cunliffe,M,4/11/91
262519,s0001,4/15/58,Jamaludin,Knightly,M,1/4/93
33808,e0003,10/2/64,Van,Miara,M,6/20/85
70498,s0001,8/21/55,Kien,Naumovich,F,11/1/93
209612,e0003,6/16/63,Honesty,Schrooten,F,8/24/85
488918,s0001,9/8/52,Tamiya,Munos,F,5/15/92
255456,s0001,5/19/53,Aleksandar,Tibblin,F,3/13/85
225156,s0001,9/2/59,Conor,Flanders,M,2/21/86
19621,e0003,5/24/54,Radhakrishnan,Albarhamtoshy,M,5/7/86
451322,s0001,6/1/60,Gadiel,Journel,M,3/8/89
497659,e0002,9/8/53,Susanna,Isard,M,3/7/93
412477,e0002,2/6/63,Xiaobin,Janetzko,M,1/14/88
404690,s0002,12/3/60,Hidde,Morton,M,8/11/85
447021,s0001,9/9/54,Shigeu,Denna,F,4/10/86
292420,e0003,7/2/61,Uma,Felder,M,12/13/91
214723,s0001,4/29/56,Genki,Casley,M,7/12/88
285589,s0002,12/7/56,Uta,Frolund,M,1/22/86
213776,e0002,5/13/61,Hongzhu,McAlpine,M,12/5/91
297557,e0004,3/8/64,Elliott,Mayerwieser,F,1/24/95
201423,e0002,2/16/53,Phule,Parveen,M,8/30/94
459789,s0001,8/20/62,Paddy,Candan,M,6/8/90
438835,e0003,12/17/54,Constantijn,Penz,M,3/19/85
470360,e0003,1/11/60,Shrikanth,Hitomi,F,2/13/87
273830,e0003,1/13/61,Chrisa,Demizu,M,6/3/85
205312,s0001,10/15/56,Arco,Matzat,M,10/3/90
14296,e0001,2/9/59,Ronnie,Rosen,M,10/26/90
293141,e0003,6/21/64,Zhiwei,Kaminger,M,7/4/86
84577,e0003,10/5/57,Satyanarayana,Garigliano,F,4/25/85
495278,e0003,12/12/58,Mayuko,Bisiani,M,2/23/89
405076,e0003,3/4/63,Marit,Baby,M,1/13/90
77286,e0003,11/26/63,Mang,Spelt,M,6/9/93
469432,s0001,9/15/64,Arlette,Reeker,M,5/4/88
230316,s0001,7/22/54,Magdalena,Billingsley,M,1/22/89
208132,e0003,8/13/53,Sven,Krider,F,9/25/86
77078,e0002,2/4/53,Yannik,Vakili,M,11/9/86
272976,s0001,6/10/54,Augustine,Hiraishi,F,7/23/88
268856,e0003,11/20/53,Kazuhiro,Doering,M,7/23/87
440237,e0002,3/21/63,Chaoyi,Luit,M,6/18/90
218310,s0001,10/22/54,Mara,Vidya,M,4/3/95
433062,s0002,10/7/57,Kiam,Erman,M,3/4/90
287553,e0003,6/26/56,Khatoun,Zeilberger,F,1/31/86
290340,e0002,2/26/63,Morrie,Stille,M,11/28/85
418656,s0001,1/29/63,Aluzio,Egerstedt,F,4/4/89
271092,s0001,7/7/54,Subbu,Hennings,M,3/10/90
17373,e0003,1/31/59,Shugo,Ponthieu,M,2/2/88
64364,e0003,11/28/59,Masami,Rullman,M,2/10/89
470712,e0002,8/5/61,Fox,Erva,F,5/6/86
432752,s0001,12/28/59,Huai,Birrer,M,3/28/86
451811,s0001,7/25/53,Nalini,Rabehasaina,F,9/24/87
238234,s0001,10/27/58,Bernice,Murtha,M,4/20/93
78532,e0003,3/22/63,Marit,Birrer,F,1/6/93
264944,e0003,7/15/63,Ugo,Chimia,M,11/28/87
19712,s0001,9/5/53,Kristine,Litzler,M,1/9/86
482398,s0001,7/28/62,Lillian,DuBourdieux,F,7/11/91
451314,e0003,7/7/56,Fuqing,Demizu,M,2/8/92
71064,s0001,7/13/54,Kokou,Genther,F,5/28/85
410614,e0003,8/27/59,Valter,Baby,F,8/26/91
51841,e0002,9/23/60,Kristof,Honglei,M,1/3/93
218907,s0001,12/28/53,Chikako,Schade,F,6/27/90
231612,s0001,10/6/59,Eirik,Farrel,F,9/19/86
450610,s0001,10/24/54,Wayne,Levergood,M,5/5/86
261707,s0001,5/1/58,Chenye,Gurbaxani,F,1/13/91
88922,e0004,10/7/64,Niteen,Alpay,M,5/28/90
283262,s0001,5/20/54,Chrisa,Cullers,M,1/28/86
490354,e0003,3/20/61,Manton,Perko,M,6/18/86
80837,s0001,8/31/52,Nigel,Tempesti,F,7/19/90
473097,s0001,8/29/52,Shooichi,Linnainmaa,M,11/9/87
28718,s0001,6/11/61,Etsuo,Ratzlaff,M,1/15/86
290492,s0001,1/4/63,Sorina,Cummings,F,7/31/94
499788,s0001,7/2/57,Matk,Goodrum,M,4/25/94
11447,e0003,7/23/61,Rasiah,Billawala,M,9/18/85
288054,s0001,12/9/59,Odysseas,Erie,M,2/6/86
238612,s0001,2/12/59,Toshimitsu,Montemayor,M,10/5/88
17422,e0002,5/6/61,Adil,Lemarechal,F,2/18/92
405029,e0002,10/8/62,Stevo,Karlin,M,8/11/87
407766,s0001,12/7/54,Yoshinari,Schmittgen,F,8/1/85
424666,s0001,11/16/58,Ingmar,Lambe,M,10/21/86
476669,s0002,10/14/57,Persi,Piancastelli,F,12/21/91
30512,s0001,5/23/59,Danel,Bellmore,F,2/8/85
253805,e0003,1/12/55,Malu,Fargier,F,2/10/85
15143,s0002,8/4/53,Chiradeep,Krupka,M,1/10/89
86440,s0001,11/3/56,Jamaludin,Nitsche,F,9/21/97
245089,s0001,6/7/60,Peer,Melski,M,4/19/92
480134,e0003,4/3/63,Magdalena,Basart,M,11/12/89
75099,e0002,7/8/57,Arunas,Vandervoorde,M,10/30/93
72141,s0001,4/2/55,Gilbert,Qiwen,F,7/6/93
261049,s0001,7/3/52,Naraig,Cooman,M,3/25/93
441769,s0002,10/5/55,Irena,Sundgren,M,5/4/90
419093,s0001,6/4/59,Khosrow,Emden,M,10/4/92
430062,e0003,8/17/62,Ult,Budinsky,M,6/9/90
200022,s0001,9/11/61,Ortrud,Menhardt,M,2/5/95
246948,s0001,8/11/55,Leaf,Przulj,M,10/28/89
277082,s0001,9/2/52,Phule,Belinskaya,M,3/17/93
33014,e0003,1/4/60,Dante,Furedi,M,7/7/93
29239,e0002,6/20/59,Nagui,Rosca,M,4/15/91
86833,e0002,8/15/61,Genta,Cardazo,M,12/12/87
454407,s0001,3/19/57,Wayne,Molberg,F,11/14/90
277149,s0002,5/31/64,Kellie,Spinelli,F,1/16/88
218904,e0001,2/28/60,Nakhoon,Nastansky,M,3/10/85
251732,s0001,12/10/59,Junsik,Fortenbacher,M,12/4/92
202995,s0002,4/18/59,Margareta,Strandh,F,12/24/85
421718,s0001,3/3/58,Mantis,Shumilov,M,1/11/93
66094,e0004,6/3/59,Masali,Trogemann,F,2/13/85
422949,s0001,4/22/55,Vishv,Stentiford,M,10/6/88
491322,e0004,9/24/59,Guther,Validov,M,5/21/95
499197,e0003,9/10/54,Akemi,Rajaraman,M,11/13/85
66872,s0002,3/5/58,Herbert,Itschner,M,6/6/93
444887,e0003,7/8/56,Jiakeng,Ginesta,F,11/7/92
262594,s0002,3/28/64,Owen,Boudaillier,F,8/1/88
32627,e0003,9/30/59,Khalid,Merkl,F,12/24/91
280330,e0003,6/2/54,Saniya,Gladwell,F,11/19/89
491499,e0003,1/11/55,Heather,Perz,F,4/2/87
295069,s0001,12/17/64,Roddy,Pouyioutas,M,6/28/90
281244,e0004,12/31/52,Marke,Vural,F,3/9/88
75219,e0002,6/27/59,Reinhold,Fritzsche,M,4/28/96
411700,s0001,11/22/59,Otmar,Yoshimura,M,4/3/93
90738,e0003,3/17/52,Pranav,Christianini,M,2/24/85
45381,e0002,5/19/64,Masaki,McFarlan,F,3/17/93
13819,e0002,10/15/59,Honglan,Percebois,M,3/3/99
415948,e0003,7/10/59,Marin,Ashish,M,7/11/86
429536,s0001,11/2/57,Toney,Sambasivam,M,12/7/92
241350,s0001,2/1/58,Gretta,Leslie,M,11/4/94
231552,s0001,7/31/62,Bernt,Munke,F,11/30/95
430657,s0001,10/2/58,Guadalupe,Kroha,F,1/2/89
65328,e0003,1/10/59,Muneo,Erde,F,1/12/90
461247,e0002,3/18/60,Aimee,Coorg,F,5/2/95
494822,s0001,4/21/55,Naftaly,Luga,M,11/11/87
279041,e0003,5/6/62,JiYoung,Delaune,M,9/4/86
402841,e0003,12/22/63,Dayanand,Barinka,M,7/16/89
439346,s0002,7/26/61,Kellyn,Takanami,M,1/1/96
82521,s0001,2/7/63,Lubomir,Porenta,M,10/20/87
105131,e0003,2/5/52,Sandeepan,Sidou,M,1/19/86
39966,s0001,2/28/54,Utpal,Beidas,F,5/29/88
297441,s0001,7/22/62,Baocai,Fujisawa,F,4/24/90
49123,e0004,6/3/64,Nikolaos,Stroustrup,M,6/21/94
40518,e0002,5/29/62,Youngkon,Luiz,M,8/23/96
466414,e0003,9/17/64,Jordanka,Wroclawski,M,8/26/88
461748,s0001,8/12/63,Shim,Wallrath,M,8/28/89
220038,e0003,7/23/62,Conor,Iisaka,M,7/7/95
459196,e0004,11/25/64,Neven,Leivant,M,9/2/86
262129,e0003,3/8/54,Moon,Schnabel,F,9/8/90
81113,e0003,3/6/60,Sarita,Hofting,M,7/3/86
442633,s0001,2/25/61,Jackson,Cangellaris,F,1/13/89
204079,s0001,1/16/64,Shigenori,Stentiford,M,10/31/85
481729,e0003,10/16/62,Doowon,Setlzner,M,5/1/89
479077,e0002,2/19/54,Premsyl,Kusalik,M,7/13/95
418592,e0003,12/12/57,Akhilish,Fortenbacher,F,9/10/91
61928,e0002,3/20/61,Gaetan,Dichev,F,9/4/87
70241,s0001,12/22/56,Arumugam,Garigliano,F,7/25/93
34181,e0003,10/26/58,Mads,Setiz,M,6/12/91
469731,s0001,11/23/54,Ramya,Bierman,M,5/31/88
214156,s0002,9/1/64,Giap,Rijckaert,M,5/14/89
81567,s0001,10/24/64,Doohun,Nilsson,M,11/7/93
245896,s0001,12/28/56,Denny,Skrikant,M,10/6/92
36917,e0003,8/7/53,Kolar,Karunanithi,F,12/6/86
445621,e0003,2/12/54,Shmuel,Impagliazzo,M,2/19/86
61030,e0002,9/29/58,Thodoros,Seiwald,F,5/4/95
270704,e0003,7/17/53,Rosella,Leivant,M,10/16/85
223242,e0002,10/24/61,Leszek,Pell,M,2/28/91
441893,s0001,4/4/63,Ziyad,Edelhoff,M,12/10/91
62695,s0001,7/20/52,Guangming,Jenevein,F,1/7/88
74502,s0001,10/30/54,Bedrich,Delaune,F,4/6/86
407081,e0004,12/20/55,Heeju,Swift,F,3/16/90
